X,Y,Z,Bx,By,Bz
-10.0,-8.0,-1.5,-1.0365070687220939,-3.83219971714601,13.482234997731762
-10.0,-8.0,-1.0,0.1975718806295637,-2.868025151036111,13.862834405824008
-10.0,-8.0,-0.5,1.4716517345467937,-1.8577692869266582,14.061336767118512
-10.0,-8.0,0.0,2.757543168456824,-0.8237585845654622,14.068812023169668
-10.0,-8.0,0.5,4.026004863499534,0.21050413833983847,13.883448854292494
-10.0,-8.0,1.0,5.248280896787226,1.221574848216223,13.510734994807516
-10.0,-8.0,1.5,6.3976088131294455,2.1872976186962965,12.963100848085634
-10.0,-8.0,2.0,7.450557655323797,3.087913441796248,12.259066157368633
-10.0,-8.0,2.5,8.388078599125022,3.9069511580927463,11.421987258706055
-10.0,-8.0,3.0,9.19618990041518,4.63183350092075,10.47854368615812
-10.0,-8.0,3.5,9.866265043451003,5.254168684495453,9.45712164276322
-10.0,-8.0,4.0,10.394939743994998,5.769735625772656,8.386247081197705
-10.0,-8.0,4.5,10.783692336623727,6.178202690459575,7.293196500901514
-10.0,-8.0,5.0,11.038178143290512,6.482641698390117,6.202875910972545
-10.0,-8.0,5.5,11.167409931788725,6.6889092355807165,5.13701576731252
-10.0,-8.0,6.0,11.182883494803002,6.804970417914845,4.113698975574651
-10.0,-8.0,6.5,11.097673934968077,6.840208086773912,3.1471369960026925
-10.0,-8.0,7.0,10.92569258741769,6.804811563759044,2.2478018280214647
-10.0,-8.0,7.5,10.680972973153349,6.709224121985036,1.4226401490367362
-10.0,-8.0,8.0,10.377132001087011,6.563701719557963,0.6754748779706993
-10.0,-8.0,8.5,10.02696112939667,6.377976318584873,0.007468812367802279
-10.0,-8.0,9.0,9.642147454291006,6.161020295386701,-0.5823855156535059
-10.0,-8.0,9.5,9.233108934349893,5.920900567338043,-1.0967864325143013
-10.0,-8.0,10.0,8.808923956321275,5.664707619728409,-1.5396797823845825
-10.0,-7.5,-10.0,-7.362900213206996,-7.110166176833884,-0.6744492518781866
-10.0,-7.5,-9.5,-7.67200463014339,-7.437737788108378,-0.17400381391789158
-10.0,-7.5,-9.0,-7.955959959446063,-7.75051801331352,0.4012449892830156
-10.0,-7.5,-8.5,-8.204869960780954,-8.040742695987777,1.0550488846788115
-10.0,-7.5,-8.0,-8.407489996211858,-8.299505658364797,1.7897369138895216
-10.0,-7.5,-7.5,-8.55133010673119,-8.516820225398241,2.6057198945550066
-10.0,-7.5,-7.0,-8.622866845831245,-8.681764615519892,3.5009534584372353
-10.0,-7.5,-6.5,-8.60788648630511,-8.78272973615644,4.470389023951013
-10.0,-7.5,-6.0,-8.491984052706648,-8.807793692133295,5.505449838891439
-10.0,-7.5,-5.5,-8.261188788605471,-8.745177370468111,6.593623389724972
-10.0,-7.5,-5.0,-7.9027989440587065,-8.583909822393258,7.718144841690065
-10.0,-7.5,-4.5,-7.406287995333764,-8.31451444058658,8.857973614105576
-10.0,-7.5,-4.0,-6.764310816063304,-7.929804008981454,9.988034973881236
-10.0,-7.5,-3.5,-5.97370520053127,-7.425679844168573,11.079824632846911
-10.0,-7.5,-3.0,-5.036395757114191,-6.801868558173539,12.102399233017355
-10.0,-7.5,-2.5,-3.960088337837132,-6.062510091028656,13.023741611199856
-10.0,-7.5,-2.0,-2.758642374388238,-5.216508715412494,13.812438944293739
-10.0,-7.5,-1.5,-1.4520253525344284,-4.277570223082401,14.439558070827589
-10.0,-7.5,-1.0,-0.06578956090666868,-3.263874732895519,14.880555149946336
-10.0,-7.5,-0.5,1.3699364497696933,-2.1973737230551524,15.117027058374745
-10.0,-7.5,0.0,2.8218875940605126,-1.1027468203266275,15.138108605420571
-10.0,-7.5,0.5,4.255418508782649,-0.006100694061704323,14.941347375042488
-10.0,-7.5,1.0,5.636413965224721,1.0664698546694389,14.532944912555719
-10.0,-7.5,1.5,6.933166199860994,2.090317645138766,13.92733036916245
-10.0,-7.5,2.0,8.118035456860332,3.0435352398915363,13.146116787058501
-10.0,-7.5,2.5,9.168741389760662,3.9079847326688606,12.216565376396264
-10.0,-7.5,3.0,10.06918560076663,4.6699848658376295,11.169736023565525
-10.0,-7.5,3.5,10.80976882234748,5.320622218770568,10.03852493962632
-10.0,-7.5,4.0,11.387228142597596,5.8557000161828325,8.855781823929131
-10.0,-7.5,4.5,11.804070019747058,6.275376823530345,7.652664603406144
-10.0,-7.5,5.0,12.067707190743155,6.583572977648648,6.4573393604775084
-10.0,-7.5,5.5,12.189420071578699,6.7872333938504,5.294077454039987
-10.0,-7.5,6.0,12.183258009054386,6.895532790961833,4.1827507213768
-10.0,-7.5,6.5,12.064988931331532,6.919102495447617,3.138694248220414
-10.0,-7.5,7.0,11.851100799987746,6.869301078945336,2.1728173868351828
-10.0,-7.5,7.5,11.55807044670473,6.757643458212497,1.2920293328994057
-10.0,-7.5,8.0,11.20169257462447,6.595304744240755,0.4997016066947134
-10.0,-7.5,8.5,10.796637855392563,6.392771602518582,-0.20374330085420334
-10.0,-7.5,9.0,10.356158960203288,6.159605925483109,-0.8202393509288366
-10.0,-7.5,9.5,9.89193264202507,5.9043091179457265,-1.353510433177246
-10.0,-7.5,10.0,9.41401126657322,5.634268200502508,-1.8085574208207946
-10.0,-7.0,-10.0,-8.002623714133058,-7.239276430598558,-1.0216434278318616
-10.0,-7.0,-9.5,-8.368324303544366,-7.597127160006728,-0.5113578860556642
-10.0,-7.0,-9.0,-8.71037519701965,-7.943081325777054,0.08101023315610598
-10.0,-7.0,-8.5,-9.01781822603397,-8.269138152966908,0.7604394642336193
-10.0,-7.0,-8.0,-9.278028855899073,-8.56598621007565,1.5304739689245381
-10.0,-7.0,-7.5,-9.476792044241076,-8.823036991522732,2.3926516997098655
-10.0,-7.0,-7.0,-9.598503462237396,-9.028548387003337,3.3458697468770167
-10.0,-7.0,-6.5,-9.626532313215934,-9.169870664688178,4.385709221549355
-10.0,-7.0,-6.0,-9.543741705574144,-9.233781618606882,5.503819435045332
-10.0,-7.0,-5.5,-9.333252752455,-9.207055350045458,6.687292922700116
-10.0,-7.0,-5.0,-8.979366909229158,-9.077098423499748,7.91829351005996
-10.0,-7.0,-4.5,-8.468679247348303,-8.832759569147171,9.173892545294903
-10.0,-7.0,-4.0,-7.791306268972604,-8.465228611498002,10.426261209878371
-10.0,-7.0,-3.5,-6.942142280929239,-7.968970135643358,11.643289106953409
-10.0,-7.0,-3.0,-5.922023787016103,-7.342606445293228,12.789677299153176
-10.0,-7.0,-2.5,-4.738659126332387,-6.589647113630563,13.82850456655142
-10.0,-7.0,-2.0,-3.4071751935776406,-5.718956907710068,14.723201679843921
-10.0,-7.0,-1.5,-1.950150883283331,-4.744864809831458,15.439798384414825
-10.0,-7.0,-1.0,-0.39705069193337417,-3.686846526104013,15.949244207446519
-10.0,-7.0,-0.5,1.2169610445739303,-2.5687596210383195,16.22956169565639
-10.0,-7.0,0.0,2.8527635208621356,-1.4176680960695738,16.26758211703638
-10.0,-7.0,0.5,4.469437358721319,-0.26235189104737355,16.060046099577942
-10.0,-7.0,1.0,6.0266289124877614,0.8683552082386149,15.613923388907315
-10.0,-7.0,1.5,7.486878328125796,1.9472287498621281,14.945905597512704
-10.0,-7.0,2.0,8.817672667329639,2.9501473961267775,14.081134914424545
-10.0,-7.0,2.5,9.993027223410063,3.8572738657721555,13.051329090807487
-10.0,-7.0,3.0,10.994468658962033,4.653827586882473,11.892530501816566
-10.0,-7.0,3.5,11.811377819894712,5.330412200345725,10.642734225820863
-10.0,-7.0,4.0,12.44073148568356,5.882918612788772,9.339636075490002
-10.0,-7.0,4.5,12.886347026434024,6.312070895665467,8.018694302796428
-10.0,-7.0,5.0,13.157773644035451,6.622711840545022,6.711631737959825
-10.0,-7.0,5.5,13.26898672803289,6.8229357972776,5.445433243464372
-10.0,-7.0,6.0,13.23703150047566,6.923170826808591,4.24182915457977
-10.0,-7.0,6.5,13.080735585694459,6.935294937458434,3.117206992112083
-10.0,-7.0,7.0,12.819589243842339,6.871855212021894,2.082870990656461
-10.0,-7.0,7.5,12.472759233607794,6.745382791633141,1.1455083508655117
-10.0,-7.0,8.0,12.058464148592963,6.567926954216458,0.30788170681894456
-10.0,-7.0,8.5,11.593423584825752,6.3506651123233455,-0.43049913632199477
-10.0,-7.0,9.0,11.09256967859323,6.1036776053894695,-1.072658922970811
-10.0,-7.0,9.5,10.568904838043474,5.835827194932856,-1.6234948295722866
-10.0,-7.0,10.0,10.033484740433847,5.554726388274723,-2.0891892695173535
-10.0,-6.5,-10.0,-8.669835621546982,-7.320094187542874,-1.396657944418707
-10.0,-6.5,-9.5,-9.097832797024944,-7.706274843633476,-0.8796686741209092
-10.0,-6.5,-9.0,-9.504446913721031,-8.083838362862535,-0.2732077496243928
-10.0,-6.5,-8.5,-9.877655286046481,-8.44465868745312,0.4290808170696813
-10.0,-6.5,-8.0,-10.203409526981089,-8.779135351199496,1.2321390890158934
-10.0,-6.5,-7.5,-10.465671686031602,-9.076193270543838,2.1388439970939874
-10.0,-6.5,-7.0,-10.64659620410666,-9.323385513577886,3.149256400632515
-10.0,-6.5,-6.5,-10.726878422056188,-9.507076724491117,4.259868906087002
-10.0,-6.5,-6.0,-10.686349390992724,-9.61285558872029,5.462735095989055
-10.0,-6.5,-5.5,-10.504796249305885,-9.626041761893555,6.744779872459529
-10.0,-6.5,-5.0,-10.163045713532746,-9.532406509379184,8.087219325427963
-10.0,-6.5,-4.5,-9.644279606290814,-9.319053330808329,9.465270164608429
-10.0,-6.5,-4.0,-8.935523990633499,-8.975428577972343,10.848256600075795
-10.0,-6.5,-3.5,-8.029208222318383,-8.494395480398675,12.200221710198637
-10.0,-6.5,-3.0,-6.924647040202947,-7.873275196938038,13.48111595004603
-10.0,-6.5,-2.5,-5.629265653695428,-7.114734855874698,14.648576717748302
-10.0,-6.5,-2.0,-4.159375252314513,-6.227392167454895,15.6602333384411
-10.0,-6.5,-1.5,-2.5403238659428835,-5.2260155649093285,16.476381576292713
-10.0,-6.5,-1.0,-0.8059000053138877,-4.1312315872915955,17.06278709278855
-10.0,-6.5,-0.5,1.003048473529634,-2.968706118728628,17.393317693345715
-10.0,-6.5,0.0,2.840711666611606,-1.7678359944831872,17.45208770966867
-10.0,-6.5,0.5,4.658954145342875,-0.5600600253576797,17.234835073121186
-10.0,-6.5,1.0,6.410225821878772,0.6230412233710931,16.749341266062665
-10.0,-6.5,1.5,8.05043468290317,1.7516530129349215,16.014831892163052
-10.0,-6.5,2.0,9.541473148506093,2.799436733624078,15.060436299289195
-10.0,-6.5,2.5,10.853145157722654,3.7448714637421205,13.922909997815855
-10.0,-6.5,3.0,11.964334832984434,4.572114583545518,12.643909199905936
-10.0,-6.5,3.5,12.863368941051425,5.27134125635273,11.267138925752686
-10.0,-6.5,4.0,13.547631603587059,5.838592475652411,9.835674400928575
-10.0,-6.5,4.5,14.022572163236886,6.275216708581361,8.38969135010301
-10.0,-6.5,5.0,14.300295193158066,6.587023646382504,6.964752828450582
-10.0,-6.5,5.5,14.397933824126085,6.783278792844783,5.5907082508074675
-10.0,-6.5,6.0,14.335989734858895,6.8756580693638245,4.291180485113997
-10.0,-6.5,6.5,14.136785433228543,6.8772586617573035,3.0835591222843073
-10.0,-6.5,7.0,13.823127872850542,6.801733065860275,1.9793854389760783
-10.0,-6.5,7.5,13.417252040148222,6.662592330676675,0.9850087155524618
-10.0,-6.5,8.0,12.93996290087548,6.4726395016302725,0.10237157177824609
-10.0,-6.5,8.5,12.410202222232178,6.243653657487317,-0.670100579259452
-10.0,-6.5,9.0,11.844680146707852,5.986136028548966,-1.336688821782123
-10.0,-6.5,9.5,11.257775782787487,5.7092176262900285,-1.903608115321468
-10.0,-6.5,10.0,10.661562486707885,5.420651395934304,-2.378342378972233
-10.0,-6.0,-10.0,-9.35941032649667,-7.344772072731834,-1.7968616051604753
-10.0,-6.0,-9.5,-9.855123033347661,-7.756223194208986,-1.2765950843857272
-10.0,-6.0,-9.0,-10.33255484772363,-8.162638986889508,-0.6594721888610086
-10.0,-6.0,-8.5,-10.778642662203055,-8.555896072669608,0.06238029611387802
-10.0,-6.0,-8.0,-11.177899488629102,-8.926245825527198,0.8954786905663961
-10.0,-6.0,-7.5,-11.51239834089118,-9.262283309073483,1.8442376354449184
-10.0,-6.0,-7.0,-11.761909192989098,-9.550975604731281,2.910171709702223
-10.0,-6.0,-6.5,-11.904250219323663,-9.777888934497785,4.090879237175056
-10.0,-6.0,-6.0,-11.915900219241692,-9.927514236474792,5.379119213167642
-10.0,-6.0,-5.5,-11.772910120878699,-9.983814251331857,6.761875578368511
-10.0,-6.0,-5.0,-11.45213654361777,-9.930971545002642,8.219595952124887
-10.0,-6.0,-4.5,-10.93278205703372,-9.754337980306603,9.725729807894885
-10.0,-6.0,-4.0,-10.19818044637138,-9.441551406017691,11.246715460475535
-10.0,-6.0,-3.5,-9.237708790742984,-8.983750053147595,12.74255675869804
-10.0,-6.0,-3.0,-8.04865010271004,-8.376778253577985,14.168093724012408
-10.0,-6.0,-2.5,-6.637782547931172,-7.62224588339884,15.475002785679852
-10.0,-6.0,-2.0,-5.022448243295158,-6.728287307427172,16.614464716509207
